,subject,description
17,How do I program the KAK (Key Authorization Key) in User Access Fuses (UAF).,"The background on this is the KAK, sometimes referred to Root Public Key, or the SHA256 of the public key, is used by the ROM bootloader to authenticate the 2nd stage bootloader. This is done by checking the signed 2nd stage boot loader with a Root Public Key stored in the User Access Fuses.  This should not be confused with the AES key used to decrypt the FPGA programming file, since it is completely different. The FPGA programming file decryption key can be programmed using a .ekp file, and documented in the Intel Arria 10 Soc Secure Boot User Guide. The KAK is also mentioned there in the Intel Arria 10 Soc Secure Boot User Guide, in the Root Public Key Authentication section, but how it is programmed in the FPGA is not detailed at all. Exactly why any details on this are missing is a mystery, but the details are completely missing.  I know how to generate the root public/private key pair: openssl ecparam -genkey -name prime256v1 -out root_key.pem  I know how to use the tools to sign the 2nd stage bootloader: alt-secure-boot sign --inputfile bootloader --keypair root_key.pem --rootkey-type fuse --outputfile bootloader.signed SHA256 digest of root public key: -------------------------------------------------------------------------------------  The missing information is how to put this SHA256 digest into the UAF so the ROM bootloader can authenticate the 2nd stage on every startup. This is very specific so the answer should be very easy for the right person who knows. Can you help? "
18,Why can not my u boot configure DRAM? (external fpga config),"Dear all,  I have a question about the U-boot. Using the hardware board is designed by myself. The SoC is 10AS066N2.  The U-Boot runs perfectly when the fpga configured from u-boot from QSPI flash. I'm trying to configure fpga from external EPCQL. - Checked external-fpga-config box on u-boot. - Programmed the epcql with the JIC file that converted from sof file that rbf files origin.   - I checked the clock that drives the DDR clock pin.  Why is the CPU continuously resetting?   U-Boot 2014.10 (Oct 10 2019 - 14:33:00)    CPU  : Altera SOCFPGA Arria 10 Platform  BOARD : Altera SOCFPGA Arria 10 Dev Kit  I2C:  ready  DRAM: WARNING: Caches not enabled  emif_reset interrupt acknowledged  emif_reset interrupt acknowledged  emif_reset interrupt acknowledged  Error: Could Not Calibrate SDRAM  DDRCAL: Failed  INFO : Skip relocation as SDRAM is non secure memory  Reserving 2048 Bytes for IRQ stack at: ffe3a6e8  DRAM : 0 Bytes  data abort  pc : [<ffe001cc>]                lr : [<ffe0249d>]  sp : ffe3fff0 ip : 00000016            fp : 00000001  r10: ffd02078 r9 : ffe3aee8         r8 : ffe00000  r7 : ffe1d3d4 r6 : 00000000         r5 : 00000000 r4 : ffeff000  r3 : ffe3afaf r2 : ffe40000            r1 : ffe3d000 r0 : ffe3aee8  Flags: nzcv IRQs on FIQs on Mode SVC_32  Resetting CPU ...    resetting ...      U-Boot 2014.10 (Oct 10 2019 - 14:33:00)    CPU  : Altera SOCFPGA Arria 10 Platform  BOARD : Altera SOCFPGA Arria 10 Dev Kit  I2C:  ready  DRAM: WARNING: Caches not enabled  emif_reset interrupt acknowledged  emif_reset interrupt acknowledged  emif_reset interrupt acknowledged  Error: Could Not Calibrate SDRAM  DDRCAL: Failed  INFO : Skip relocation as SDRAM is non secure memory  Reserving 2048 Bytes for IRQ stack at: ffe3a6e8  DRAM : 0 Bytes  data abort  pc : [<ffe001cc>]                lr : [<ffe0249d>]  sp : ffe3fff0 ip : 00000016            fp : 00000001  r10: ffd02078 r9 : ffe3aee8         r8 : ffe00000  r7 : ffe1d3d4 r6 : 00000000         r5 : 00000000 r4 : ffeff000  r3 : ffe3afaf r2 : ffe40000            r1 : ffe3d000 r0 : ffe3aee8  Flags: nzcv IRQs on FIQs on Mode SVC_32  Resetting CPU ...    resetting ...  "
19,"u-boot  and FPGA to HPS SDRAM bridge, removed reset bridge in source code","Hello, we want to use the FPGA to HPS SDRAM bridge in our u-boot linux environment.  We use the altera u-boot-socfpga uboot. Every first time the kernel hang/crashes, if we want to write trough the bridge. After an warm reset everything works, we change nothing but boot only.  After a lot time of research we have found the issue. Following function was removed from source: u-boot-socfpga/arch/arm/mach-socfpga/misc_gen5.c ARM: socfpga: Remove socfpga_sdram_apply_static_cfg() without this function we cant use the bridge, for the first cold boot!  See here  Can Altera/Intel clarify how to initialize the bridge config bits, and fix this in the source?  Thanks a lot "
20,"What can hang the Cyclone-V system when the  open(""/dev/mem"" , O_RDWR|O_SYNC) command is used?","I can, with Quartus' Platform Designer, build a Cyclone V hard Processor System, which work. But when a make a new Bock Diagram as top level entity and insert the vhdl file (with Hard Processor as a soc_system component) as symbol, then the Linux-c command open(""/dev/mem"" , O_RDWR|O_SYNC) will hang the system. "
21,"Running binary file in Linux ""with inputs""","Hello,  So I am new to linux and binary files so please bare with me and feel free to correct me for my horrid use of terminology. So I have a main.c file which I am able to make into a binary file and execute it on linux command line (i.e. chmod 777 my_binary and then ./my_binary).  1) Is it possible for me to provide an input to my binary similar to a function call. For example could I call: ./my_binary -Input1 -Input2 -Input3 where the inputs (Input1, Input2 and Input3) to my program (what is this process called)?  2) Do you know of any tutorials going over this? Or would you be kind enough to provide a demonstration?  3) What would I need to do to my main.c file in order to properly receive these inputs (I am imagining that this would be similar to a C function, right)?  Thank you for your help. "
22,What am I missing? - Bare metal development hwlibs not compiling,"Hello, I am trying to create a project and compile with the hwlibs for bare metal development.  I am working on a Cyclone V development board in DS-5 &  I cannot compile the hwlibs because I get a lot of errors about many many things undefined.  Examples are UART_MAX_LEN, off_t, and log_buf.  It seems like there is a large file or set of files I am missing full of #defines for this specific chip.  Can anyone help me, or does my question make sense? "
23,Is there a bare metal program for cycloneV Ethernet?,😃 
24,how to include opencv for c/c++,"I am using SoC EDS command shell in Window 10.  I don't know how to include opencv for compiling the c/c++ project Even,  I confuse whether the types of opencv is MingW or Linux or Window.  My Makefile is the same as the following # TARGET = main  # ALT_DEVICE_FAMILY ?= soc_a10 SOCEDS_ROOT ?= $(SOCEDS_DEST_ROOT) HWLIBS_ROOT = $(SOCEDS_ROOT)/ip/altera/hps/altera_hps/hwlib OPENCV_PATH = $(SOCEDS_ROOT)/ip/altera/hps/altera_hps/OpenCV-MinGW-Build-OpenCV-4.1.0-x64 CROSS_COMPILE = arm-linux-gnueabihf- CFLAGS = -g -Wall   -D$(ALT_DEVICE_FAMILY) -I$(HWLIBS_ROOT)/include/$(ALT_DEVICE_FAMILY) -I$(HWLIBS_ROOT)/include/  -I$(OPENCV_PATH)/include/ -L$(OPENCV_PATH)/x64/mingw/lib LDFLAGS =  -g -Wall -L$(OPENCV_PATH)/x64/mingw/lib  CC = $(CROSS_COMPILE)g++ ARCH= arm  build: $(TARGET) $(TARGET): main.o $(CC) $(LDFLAGS) $^ -o $@ %.o : %.c $(CC) $(CFLAGS) -c $< -o $@ -std=c++11  .PHONY: clean clean: rm -f $(TARGET) *.a *.o *~  "
25,sopc-create-header-files appears to have broken on SoC EDS 19.1 under Windows,"Have used this happily previously on same .sopc system but now in SoC EDS command shell in 19.1 it fails. Have installed 64 bit Cygwin as per install instructions and WSL with Ubuntu 18.04.  Error: swinfo2header: Failed to load *.swinfo file ""/tmp/sopc-create-header-files.1468.tmp.swinfo"" sopc-create-header-files: swinfo2header --swinfo /tmp/sopc-create-header-files.1468.tmp.swinfo --sopc /cygdrive/c/Projects/SprintNavMini/FPGA/MiniSyrinxHPS.sopcinfo --single hps_0.h --module hps_0 failed  Any suggestions / things to try?  Kind regards, Dave  "
26,Problems about PCIe Link-Up of Stratix10,"Hi  I have a reset problems when combining the PLDA controller with Stratix10 PCIe Phy. Could you please check the following question?  Q1. I am using Stratix® 10 L- and H-Tile Transceiver PHY as a PCIe Phy. However, I found that this Phy needs to receive toggled serial signal from link-partner to finish its reset, which is different from the PIPE spec. And when I used an ""PLDA controller + Stratix10 Phy"" combination as both local and host, the reset of Phy never end as the controller won't transmit anything within reset period. So my question is, does this Phy have ever worked  successfully with controllers except for the Stratix10 PCIe controller?(i.e., Synopsys, Cadence, PLDA)  Q2. Actually, I am trying to combine PLDA controller and Stratix10 Phy.  And I stucked at the problem I mention at Q1. Do you know any work around about it?  Q3. Is there any other problem I would probably have besides the reset issue? If there is, please let me know the work around for that too.  Q4. In reset and detect phase, what parallel data should I transmit to the link-partner? I tried to transmit the following data to the link-partner but the link-partner got a 8b10b encode/decode error(rxstatus=2'd4). 16'd1111 -> 16'd2222 -> 16'd3333 -> 16'd4444 -> 16'd5555 -> 16'd1111 -> ...  Best regards "
